澶,#genre#
CCTV-1,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226231/1.m3u8
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226419/index.m3u8
CCTV-2,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8
CCTV-2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV-3,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226397/1.m3u8
CCTV-3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-4,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8
CCTV-4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-5,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8
CCTV-5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5+,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8
CCTV-5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-6,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226011/1.m3u8
CCTV-6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-7,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226192/1.m3u8
CCTV-7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-8,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8
CCTV-8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-9,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8
CCTV-9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8
CCTV-10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226240/1.m3u8
CCTV-12,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226190/1.m3u8
CCTV-12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226233/1.m3u8
CCTV-13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV-14,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226193/1.m3u8
CCTV-14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225785/1.m3u8
CCTV-16,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8
CCTV-16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226198/1.m3u8
CCTV-17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CHC鍔ㄤ綔鐢靛奖,http://111.20.105.60:6060/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC鍔ㄤ綔鐢靛奖,http://111.20.35.103:6610/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC鍔ㄤ綔鐢靛奖,http://111.20.40.170/PLTV/88888893/224/3221226465/index.m3u8
CHC鍔ㄤ綔鐢靛奖,http://39.134.19.228:6610/yinhe/2/ch00000090990000002055/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC鍔ㄤ綔鐢靛奖,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226465/1.m3u8
CHC楂樻竻鐢靛奖,http://111.20.105.60:6060/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC楂樻竻鐢靛奖,http://111.20.35.103:6610/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC楂樻竻鐢靛奖,http://111.20.40.170/PLTV/88888893/224/3221226463/index.m3u8
CHC楂樻竻鐢靛奖,http://39.134.19.228:6610/yinhe/2/ch00000090990000002065/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC楂樻竻鐢靛奖,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226463/1.m3u8
CHC瀹跺涵褰遍櫌,http://111.20.105.60:6060/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC瀹跺涵褰遍櫌,http://111.20.35.103:6610/yinhe/2/ch00000090990000002085/index.m3u8?virtualDomain=yinhe.live_hls.zte.com
CHC瀹跺涵褰遍櫌,http://111.20.40.170/PLTV/88888893/224/3221226462/index.m3u8
CHC瀹跺涵褰遍櫌,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226462/1.m3u8

鍗,#genre#
瀹夊窘鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
鍖椾含鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
鍖椾含鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
涓滄柟鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
涓滄柟鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226345/index.m3u8
涓滃崡鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
鐢樿們鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
骞夸笢鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
骞胯タ鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
璐靛窞鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
娴峰崡鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
娌冲寳鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
娌冲崡鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
婀栧寳鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
婀栧寳鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226477/index.m3u8
婀栧崡鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
婀栧崡鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226307/index.m3u8
鍚夋灄鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
姹熻嫃鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
姹熻嫃鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226310/index.m3u8
姹熻タ鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
杈藉畞鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
鍐呰挋鍙ゅ崼瑙�,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
鍐呰挋鍙ゅ崼瑙�,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226389/index.m3u8
瀹佸鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
瀹佸鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226454/index.m3u8
闈掓捣鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
闈掓捣鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226323/index.m3u8
灞变笢鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
灞辫タ鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
灞辫タ鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226392/index.m3u8
闄曡タ鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
娣卞湷鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
娣卞湷鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226313/index.m3u8
鍥涘窛鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
澶╂触鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
澶╂触鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226459/index.m3u8
瑗胯棌鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
瑗胯棌鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226433/index.m3u8
鏂扮枂鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
鏂扮枂鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226460/index.m3u8
浜戝崡鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226444/index.m3u8
娴欐睙鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
娴欐睙鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226339/index.m3u8
閲嶅簡鍗,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
瀹夊窘鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226196/1.m3u8
瀹夊窘鍗,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226196/index.m3u8
瀹夊窘鍗,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226203/index.m3u8
鍖椾含鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225796/1.m3u8
鍖椾含鍗,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225796/index.m3u8
鍖椾含鍗,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226222/index.m3u8
涓滄柟鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225797/1.m3u8
涓滄柟鍗,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226217/index.m3u8
骞夸笢鍗,http://dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225803/1.m3u8
骞夸笢鍗,http://39.134.24.166/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221225803/index.m3u8
